gene_id	gene	Macs_1	Macs_2	Macs_3	Macs+DRG_1	Macs+DRG_2	Macs+DRG_3	Macs+TGF_1	Macs+TGF_2	Macs+TGF_3
ENSMUSG00000051951	Xkr4	0	0	0.77487338	4.850755932	5.469822619	7.308818475	0	0	0
ENSMUSG00000103377	RP23-317L18.4	0	0	0	0.692965133	1.562806463	0	0	0	0
ENSMUSG00000089699	Gm1992	3.247406853	8.057675412	0	0	0	0	3.006111532	2.185193601	0
ENSMUSG00000103147	RP23-115I1.2	1.623703426	0	0	0	0	0.664438043	0	2.185193601	0
ENSMUSG00000102948	RP23-177A20.1	0	0	0	1.732412833	0	0	0.751527883	0	0
ENSMUSG00000025900	Rp1	0	0	0	7.622616465	0	0	0	0	0
ENSMUSG00000102269	RP23-285G23.3	9.742220558	2.302192975	1.549746761	0.692965133	3.125612925	3.986628259	0.751527883	0	0
ENSMUSG00000096126	Gm22307	0	0	0.77487338	0	1.562806463	0.664438043	0.751527883	0	0
ENSMUSG00000104328	RP23-37D15.1	0	0	0	2.771860533	0	0	0	0	0
ENSMUSG00000102735	RP23-37D15.2	0	2.302192975	0	0.346482567	1.562806463	1.328876086	0	0	0
ENSMUSG00000098104	Gm6085	1.623703426	10.35986839	3.099493522	4.850755932	12.5024517	7.973256518	4.509167298	2.185193601	4.544998006
ENSMUSG00000102175	RP23-34E15.2	0	1.151096487	0	0.346482567	0	0	2.254583649	6.555580802	2.272499003
ENSMUSG00000103265	RP23-34E15.3	0	0	0	0.346482567	0	5.979942388	0	0	2.272499003
ENSMUSG00000103922	RP23-34E15.4	34.09777195	19.56864029	7.748733804	10.394477	10.93964524	8.637694561	12.02444613	19.66674241	13.63499402
ENSMUSG00000033845	Mrpl15	4890.59472	2547.376527	3245.169717	3998.755301	4912.682115	4803.222614	4971.356946	5806.059397	3276.943562
ENSMUSG00000102275	RP23-34E15.5	21.10814454	8.057675412	17.04721437	24.9467448	20.31648401	14.61763695	9.769862479	10.925968	4.544998006
ENSMUSG00000025903	Lypla1	3413.024602	3518.901962	3348.227877	4187.241817	3821.843204	4508.876561	4594.841477	3974.86716	3558.733438
ENSMUSG00000033813	Tcea1	6179.815241	4879.49801	4984.760456	5219.066901	5521.395233	5948.049362	6517.249802	7158.694236	5004.042804
ENSMUSG00000062588	Gm6104	35.72147538	46.0438595	35.6441755	34.30177409	26.56770986	47.83953911	54.11000758	34.96309761	11.36249501
ENSMUSG00000103280	RP24-426M1.4	0	0	0	0	0	0	0	6.555580802	0
ENSMUSG00000002459	Rgs20	6.494813705	13.81315785	0	1.0394477	0.781403231	5.315504345	1.503055766	21.85193601	0
ENSMUSG00000033793	Atp6v1h	13588.77398	14152.73131	11525.46666	10940.88001	11286.58827	11686.80074	13161.50782	13351.5329	10010.35811
ENSMUSG00000025907	Rb1cc1	6454.22112	5717.496253	6534.507217	6642.417284	6219.188318	6355.349883	6027.253622	5637.79949	6994.75193
ENSMUSG00000090031	4732440D04Rik	238.6844037	277.4142535	358.7663751	256.0506167	216.4486951	245.1776379	286.3321234	270.9640065	290.8798724
