"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"Pcmtd1"	10426	6822	7010	13656	8840	6248	7954	13606	10290	8846	8496	18875	8410	6904	8534	15252
"Uxs1"	1060	1284	1198	1818	518	948	798	1666	964	1681	1264	2384	1148	1059	1146	2357
"Gmppa"	1862	3248	2078	966	2426	3405	2624	1468	2572	2929	2775	3656	2875	3570	2262	2550
"Rrs1"	6002	4620	3042	2396	3592	3798	3204	2280	4124	4563	3620	3486	3848	4828	2418	2246
"Tsn"	12840	15254	11672	12746	12352	12224	13566	14910	16599	14951	13442	15752	13453	16302	11416	13892
"Nifk"	3640	5466	3102	3834	4408	4528	3962	4242	6060	5354	4402	4752	5154	5568	4104	3370
"Cep170"	2057	1998	3184	3137	2256	2634	3785	4494	2410	3704	3807	5045	2174	3317	3178	2945
"Vcpip1"	11113	9710	8086	9591	11534	9308	10726	12503	14842	11089	10727	11231	9745	8147	8805	10119
"Tpp2"	13669	12205	15233	13296	13561	13297	17080	17447	18090	14152	15795	17664	12869	13682	14481	14282
"Sdccag8"	1508	1912	2051	1770	2452	1482	1991	2286	2188	1972	2526	2170	1923	2536	2304	2148
"Niban1"	14978	23274	29258	21511	15430	18732	31920	24595	18320	22274	31952	33177	17972	26571	30041	29958
"Akt3"	2834	3377	4154	5032	3998	3534	3743	4646	4718	3587	3910	5325	3646	3256	2908	4574
"Tex30"	400	2131	1378	514	857	852	512	1108	1269	989	1158	665	368	643	793	560
"Edem3"	6112	6426	6668	6231	5884	5584	6903	9260	6640	6385	7182	10707	4862	5060	6585	6418
"1700025G04Rik"	1419	774	4361	106	1395	1126	5143	110	630	343	3396	84	702	784	2201	92
"Adss"	12246	17264	9869	12946	14610	12970	11016	12294	19710	18978	14892	15603	17130	17513	11605	12698
"Bivm"	3357	2379	1464	1874	2146	1646	1442	2061	3328	2636	1314	2030	2266	2421	1420	1922
"Desi2"	7234	6016	6422	4341	5542	7068	5398	6996	6378	5824	6108	8355	6476	5361	5498	5265
"Ercc5"	2174	2540	1206	2482	2748	2201	2724	4292	3126	3813	3180	4328	2868	3719	3392	3535
"Farsb"	5316	7890	3446	3512	6086	5232	5584	4862	5760	7064	4663	4103	6177	5897	4394	3432
"Arpc5"	46770	49548	56423	44206	40841	46572	58720	44896	50198	50170	70345	62919	45662	54684	59629	55441
